;Marque;Année;Code Postal;Carburant;Emission Co2;Transmission;nbPortes;nbPlace;Kilométrage;Prix
5654;BMW;2017;10;Diesel;110-130;Manuelle;5;5;74743;25510
5679;BMW;2016;60;Diesel;110-130;Manuelle;5;5;104299;15920
5690;BMW;2019;17;Diesel;110-130;Manuelle;5;5;45265;21920
5698;BMW;2012;35;Diesel;110-130;Manuelle;5;5;178322;14380
5735;BMW;2019;81;Diesel;110-130;Manuelle;5;5;88294;32250
5757;BMW;2021;86;Diesel;110-130;Manuelle;5;5;61365;28890
5773;BMW;2020;86;Diesel;110-130;Manuelle;5;5;49890;23490
5792;BMW;2018;71;Diesel;110-130;Manuelle;5;5;37401;28980
5804;BMW;2014;30;Diesel;110-130;Manuelle;5;5;116000;14990
5892;BMW;2019;31;Diesel;110-130;Manuelle;5;5;48894;23180
5896;BMW;2019;6;Diesel;110-130;Manuelle;5;5;52248;21770
5897;BMW;2018;31;Diesel;110-130;Manuelle;5;5;98156;18970
5908;BMW;2018;50;Diesel;110-130;Manuelle;5;5;67031;27800
5967;BMW;2017;11;Diesel;110-130;Manuelle;5;5;48960;33940
5982;BMW;2019;54;Diesel;110-130;Manuelle;5;5;121282;30330
6010;BMW;2017;34;Diesel;110-130;Manuelle;5;5;76755;22990
6039;BMW;2013;44;Diesel;110-130;Manuelle;5;5;114261;16480
6065;BMW;2019;83;Diesel;110-130;Manuelle;5;5;89641;29170
6067;BMW;2019;63;Diesel;110-130;Manuelle;5;5;162406;20210
6068;BMW;2017;51;Diesel;110-130;Manuelle;5;5;96931;26430
6076;BMW;2017;31;Diesel;110-130;Manuelle;5;5;50061;31280
6079;BMW;2019;59;Diesel;110-130;Manuelle;5;5;41355;27580
6093;BMW;2019;72;Diesel;110-130;Manuelle;5;5;21600;33580
6128;BMW;2020;73;Diesel;110-130;Manuelle;5;5;86727;29210
6149;BMW;2020;50;Diesel;110-130;Manuelle;5;5;68419;25740
6165;BMW;2019;24;Diesel;110-130;Manuelle;5;5;48891;42420
6250;BMW;2017;6;Diesel;110-130;Manuelle;5;5;42132;29080
6321;BMW;2018;15;Diesel;110-130;Manuelle;5;5;30100;28900
6324;BMW;2018;22;Diesel;110-130;Manuelle;5;5;43027;24890
