Marque;Model;Année;Kilométrage;Code Postal;Prix
MAZDA MX5 (3E GENERATION);III ROADSTER COUPE 1.8 MZR 125 ELEGANCE CUIR;2010;54704;71;20430
CITROEN C3 (2E GENERATION);II (2) 1.2 PURETECH 82 FEEL EDITION;2015;91844;47;13110
VOLKSWAGEN POLO 6;VI 1.0 80 EDITION;2021;48986;66;16110
PEUGEOT 208;(2) 1.5 BLUEHDI 100 S&S SIGNATURE 5P;2019;167387;35;9900
NISSAN QASHQAI 2;II (2) 1.3 DIG-T 140 N-CONNECTA;2020;58058;91;23120
AUDI A1 (2E GENERATION) SPORTBACK;II 40 TFSI 200 S LINE S TRONIC 6;2018;44637;66;35920
LAND ROVER RANGE ROVER EVOQUE;TD4 PRESTIGE BVA6;2011;177489;80;18970
MERCEDES CLASSE B 3;III 180 D AMG LINE EDITION 7G-DCT;2020;7616;33;40300
MERCEDES CITAN;1.5 109 CDI 90 LONG;2021;97584;25;12820
CITROEN JUMPER 2;II (2) 33 L2H2 BLUEHDI 130 BUSINESS BV6;2015;77700;66;21630
MINI MINI 3 5P;III COOPER S 192 BVA7 5P;2021;51257;33;30920
PEUGEOT 208;(2) 1.5 BLUEHDI 100 S&S 5CV ALLURE BUSINESS 5P E6;2019;56977;35;15350
PEUGEOT 3008 (2E GENERATION);II 2.0 BLUEHDI 180 S&S GT EAT6;2016;77802;24;31900
AUDI A4 (5E GENERATION) AVANT;V AVANT 1.4 TFSI 150;2019;67160;31;27340
LAND ROVER RANGE ROVER EVOQUE;(2) TD4 150 SE BVA;2017;76254;76;31740
MERCEDES CLASSE A 4;IV 180 D PROGRESSIVE LINE 7G-DCT;2020;24629;57;30110
PEUGEOT 2008;(2) 1.6 BLUEHDI 100 5CV ALLURE;2018;30283;72;23160
AUDI RS6 (3E GENERATION) AVANT;III (2) AVANT 4.0 TFSI 560 QUATTRO TIPTRONIC;2014;80122;69;90730
DACIA DUSTER;1.5 DCI 110 FAP 4X2 AMBIANCE;2013;140679;66;9340
AUDI A6 (5E GENERATION) AVANT;V AVANT 50 TDI 286 S LINE QUATTRO TIPTRONIC;2018;102598;1;65750
MERCEDES CLASSE CLS 3;III 400 D AMG LINE+ 4MATIC 22CV;2017;70282;69;64880
DODGE CHALLENGER 2;6.1 V8 425 SRT8;2009;65685;67;61120
RENAULT MEGANE 4;IV 1.5 DCI 115 BLUE BUSINESS;2018;62879;63;18480
JEEP RENEGADE;(2) 1.6 MULTIJET S&S 130 7CV LIMITED;2022;33461;24;24060
FORD KUGA 2;II (2) 1.5 TDCI 120 S&S BUSINESS NAV POWERSHIFT;2016;89079;35;19450
CITROEN C5 AIRCROSS;1.6 HYBRID 225 FEEL E-EAT8;2022;12;55;46110
VOLKSWAGEN PASSAT 8 SW;VIII SW 1.6 TDI 120 BLUEMOTION TECHNOLOGY CONFORTLINE BUSINESS;2019;143631;69;17030
RENAULT KADJAR;(2) 1.3 TCE 140 FAP 7CV LIFE;2021;47982;10;19150
RENAULT MEGANE 4 ESTATE;IV ESTATE 1.5 DCI 115 BLUE BUSINESS;2019;86807;78;16090
RENAULT MEGANE 4;IV 1.5 DCI 115 BLUE INTENS EDC;2018;49336;28;19690
CITROEN C4 SPACETOURER;1.6 BLUEHDI 120 S&S BUSINESS BV6;2019;118346;91;16060
RENAULT CLIO 4;IV (2) 1.5 DCI 90 INTENS EDC;2020;50658;28;14520
AUDI A6 (4E GENERATION);IV (2) 2.0 TDI ULTRA 190 BUSINESS EXECUTIVE S TRONIC;2016;68679;78;32190
RENAULT MEGANE 4;IV 1.5 DCI 115 BLUE INTENS EDC;2020;72174;45;18810
FORD RANGER 3;III (2) 2.2 TDCI 160 S/S SUPER CAB XLT SPORT;2018;15081;77;33200
TOYOTA RAV 4 (4E GENERATION);IV (2) 2.5 HYBRIDE 197 2WD EXCLUSIVE CVT;2016;86236;92;28730
PEUGEOT PARTNER 2 FOURGON;II (3) 1.6 BLUEHDI 75 STANDARD PREMIUM;2016;109123;69;12140
AUDI Q2;35 TFSI 150 COD SPORT;2020;32984;77;29250
MERCEDES GLA;220 D SENSATION 4MATIC 7G-DCT;2018;103006;67;28940
AUDI A4 (5E GENERATION) AVANT;V AVANT 2.0 TDI 150 DESIGN S TRONIC;2018;72530;84;28480
JAGUAR E-PACE;D180 AWD BUSINESS BVA;2019;115290;57;32800
DS DS 3 CROSSBACK;1.5 BLUEHDI 130 PERFORMANCE LINE + AUTOMATIQUE;2018;31473;66;34500
RENAULT MEGANE 4;IV 1.5 DCI 115 BLUE LIMITED EDC;2018;75422;45;19470
PEUGEOT 5008 (2E GENERATION);II 2.0 BLUEHDI 180 S&S GT LINE EAT8;2020;28271;24;42590
OPEL GRANDLAND X;2.0 DIESEL 177 ULTIMATE AUTOMATIQUE;2018;69829;69;25660
PORSCHE PANAMERA 2;II 4 E-HYBRID 5PL;2018;41571;67;108720
PEUGEOT 5008;(2) 1.6 BLUEHDI 120 ACTIVE BUSINESS EAT6 7PL;2018;72970;69;26380
PEUGEOT 208 (2E GENERATION);II 1.2 PURETECH 100 S&S ALLURE PACK MY21;2023;12;33;24760
PORSCHE 911 TYPE 992 TARGA;(992) 3.0 385 TARGA 4;2019;9979;27;216330
PORSCHE PANAMERA 2;II 4 E-HYBRID 4PL;2016;53774;67;113640
RENAULT CLIO 4;IV 1.5 DCI 90 ENERGY BUSINESS ECO2 82G;2016;94735;35;11530
PORSCHE CAYENNE 2;II (2) 3.6 S TIPTRONIC;2014;78080;74;65750
AUDI A6 (5E GENERATION) AVANT;V AVANT 40 TDI 204 BUSINESS EXECUTIVE S TRONIC;2018;77859;31;43100
VOLKSWAGEN TRANSPORTER 5;V 2.0 TDI 102 L1H1 BUSINESS LINE;2014;107901;24;37500
DODGE RAM;1500 5.7 V8 395 GPL HEMI CREW CAB LARAMIE;2019;46291;95;68980
LAND ROVER RANGE ROVER SPORT 2;II 3.0 SDV6 306 19CV HSE AUTO;2014;162380;95;40120
PORSCHE 911 TYPE 991 CABRIOLET;(991) CABRIOLET 3.4 350 CARRERA;2014;112125;27;97630
AUDI A1 SPORTBACK;SPORTBACK 1.4 TFSI 185 S LINE S TRONIC;2015;64975;74;20320
MASERATI GHIBLI 3;III 3.0 V6 DIESEL;2013;79494;95;42160
DACIA DOKKER;1.5 DCI 90 LAUREATE ECO2;2015;120830;11;10680
CITROEN BERLINGO 2;II (3) 1.6 BLUEHDI 100 S&S BUSINESS M;2015;155428;78;11820
OPEL GRANDLAND X;1.5 DIESEL 130 7CV OPEL 2020 AUTO;2019;19398;27;28600
FORD KUGA 2;II (2) 2.0 TDCI 150 S&S 4X2 ST LINE;2019;77758;35;23710
BMW SERIE 2 F44 GRAN COUPE;(F44) GRAN COUPE 216D M SPORT AUTO;2019;40959;59;38110
RENAULT KANGOO 2 EXPRESS;II (2) CONFORT ENERGY DCI 90;2017;5487;61;15140
MERCEDES CLASSE B 3;III 180 7CV AMG LINE EDITION 7G-DCT;2019;55115;33;35500
KIA NIRO;(2) 1.6 GDI HYBRIDE 141 ACTIVE BUSINESS DCT6;2021;18529;35;30920
OPEL ASTRA 5;V (2) 1.5 DIESEL 122 ULTIMATE;2021;28429;55;20850
AUDI A4 (5E GENERATION);V (3) 35 TFSI 150 S LINE S TRONIC 7;2021;13375;69;38500
RENAULT CAPTUR;(2) 1.5 DCI 90 BUSINESS;2020;43183;24;17590
AUDI Q5 (2E GENERATION);II (2) 40 TDI 204 S LINE QUATTRO S TRONIC 7;2022;16176;30;70230
PEUGEOT 2008;(2) 1.2 PURETECH 82 ACTIVE;2017;34219;66;17080
BMW SERIE 2 F46 GRAN TOURER;(F46) GRAN TOURER 218D SPORT BVA8;2014;130848;74;21440
FORD FIESTA 6 ST;VI 1.5 ECOBOOST 200 S&S ST PACK 3P;2017;49223;38;21380
PEUGEOT 2008;(2) 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS;2018;57426;78;18000
OPEL CORSA 6;VI 1.2 TURBO 100 GS LINE AUTO 5P;2022;20757;27;22580
OPEL ASTRA 5;V 1.0 ECOTEC TURBO 105 EDITION;2016;60238;37;15450
AUDI SQ5;(2) 3.0 V6 BITDI 340 PLUS QUATTRO TIPTRONIC 8;2015;140220;74;43200
CITROEN GRAND C4 SPACETOURER;1.5 BLUEHDI 130 S&S ORIGINS BV6;2020;31684;78;25970
RENAULT GRAND SCENIC 4;IV 1.5 DCI 110 ENERGY LIFE;2016;163584;47;13210
CHEVROLET CORVETTE C6;C6 LS2;2007;128116;24;38610
OPEL CORSA 5;V 1.4 90 EDITION 5P;2019;13194;78;12990
VOLVO V70 (3E GENERATION);T6 330CH AWD RDESIGN BY HEICO SPORTIV;2011;198750;92;24360
PEUGEOT 807;(2) 2.0 HDI 163 FAP ALLURE BVA6 7PL;2013;185546;28;13510
CITROEN C4 CACTUS;(2) 1.2 PURETECH 110 S&S FEEL BUSINESS EAT6;2017;57211;78;16660
PORSCHE MACAN;(2) 3.0 S 354;2018;45292;67;94340
PEUGEOT 3008 (2E GENERATION);II 1.6 BLUEHDI 120 S&S ALLURE;2016;104858;11;24580
MINI COUNTRYMAN 2;II COOPER D FINITION CHILI 150 BVA8;2018;78225;24;26140
RENAULT MEGANE 4;IV 1.6 DCI 130 ENERGY INTENS;2017;31910;18;19150
MERCEDES SPRINTER 2;II (2) 314 CDI 37S 3.5T;2019;171000;24;23820
PEUGEOT PARTNER 3 FOURGON;III 1.5 BLUEHDI 130 S&S STANDARD 650KG PREMIUM;2022;5850;33;25500
VOLKSWAGEN PASSAT 8;VIII 2.0 TDI 190 BLUEMOTION TECHNOLOGY 4MOTION CARAT EXCLUSIVE DSG6;2016;100025;69;25440
HONDA HR-V 2;II 1.5 I-VTEC 130 EXECUTIVE NAVI CVT;2018;65351;95;19600
LAND ROVER RANGE ROVER VELAR;2.0 D240 14CV 4WD SE R-DYNAMIC AUTO;2019;42782;95;81300
PEUGEOT 308 (2E GENERATION) SW;II SW 1.6 BLUEHDI 120 S&S ACTIVE BUSINESS;2019;87852;25;14580
PORSCHE MACAN;3.0 V6 GTS;2018;72142;51;79440
CITROEN BERLINGO 2;II (2) 1.6 HDI 75 20 L1 CLUB;2017;133662;24;13770
CITROEN C5 AIRCROSS;1.2 PURETECH 130 S&S FEEL BV6;2019;13946;47;26980
FIAT 500 (2E GENERATION);II (2) 1.2 8V 69 POPSTAR;2016;40955;11;12630
MERCEDES CL 3 AMG;III 63 AMG BVA7;2007;97244;61;49070
FORD MUSTANG 6 COUPE;VI FASTBACK 5.0 V8 GT BVA6;2019;22069;38;59780
MERCEDES VITO;TOURER PRO 116 CDI 163 LONG 9G-TRONIC 9PL;2019;40108;57;50710
LAND ROVER RANGE ROVER EVOQUE;(2) TD4 180 HSE DYNAMIC BVA;2016;44072;60;39370
VOLKSWAGEN POLO 6;VI 1.0 65 TRENDLINE;2017;111212;77;12630
AUDI RS6 (3E GENERATION) AVANT;III (2) AVANT 4.0 TFSI 605 PERFORMANCE QUATTRO TIPTRONIC;2017;131440;25;86670
FERRARI GTC4;V12 690CH LUSSO 6.0;2018;42308;6;239440
VOLKSWAGEN GOLF SPORTSVAN;(2) 1.6 TDI 115 BLUEMOTION TECHNOLOGY CARAT DSG7;2018;92802;55;22580
PEUGEOT 208;(2) 1.2 PURETECH 82 SIGNATURE 5P;2020;29557;72;16080
PEUGEOT 308 (2E GENERATION);II (2) 1.2 PURETECH 130 S&S ACTIVE BUSINESS EAT6;2020;74349;78;20630
PEUGEOT 208 (2E GENERATION);II 1.2 PURETECH 100 S&S GT;2020;1;42;24500
CITROEN C4 (3E GENERATION);III 1.5 BLUEHDI 130 S&S SHINE EAT8;2022;1;42;31550
PORSCHE CAYENNE 2;II 3.0 V6 D 245 PLATINIUM EDITION TIPTRONIC;2013;154988;57;42360
DACIA DUSTER;(2) 1.5 DCI 110 FAP PRESTIGE 4X2 EURO6;2014;140970;36;13300
BMW SERIE 3 F31 TOURING;(F31) (2) TOURING 318D 150 M SPORT BVA8;2019;60876;33;31800
KIA SORENTO 3;III 2.2 CRDI 200 ISG ULTIMATE 4WD BVA6;2017;163813;24;26230
PEUGEOT 2008;(2) 1.2 PURETECH 82 ACTIVE;2018;24770;47;14370
AUDI Q3;2.0 TDI 140 AMBIENTE;2013;62162;55;20500
MERCEDES CLASSE A 3;III (2) 180 D BUSINESS EDITION 7G-DCT;2018;95138;24;26690
PORSCHE PANAMERA 2;II (2) 2.9 V6 462 HYBRID 4 EXECUTIVE;2020;10460;37;129130
RENAULT MEGANE 4 RS;IV 1.8 TCE 280 RS EDC;2017;59171;63;37340
MERCEDES CLASSE B 2;II (2) 180 D BUSINESS EDITION;2019;31613;66;21180
PORSCHE 911 TYPE 996;(996) (2) 3.6 CARRERA TARGA;2001;57875;74;56120
MERCEDES CLA;(2) 200 D BUSINESS EDITION;2018;103565;66;29250
RENAULT CLIO 4;IV (2) 0.9 TCE 90 ENERGY BUSINESS;2018;35968;24;13670
RENAULT SCENIC 4;IV 1.7 DCI 120 BLUE BUSINESS EDC;2020;126748;37;16720
KIA STONIC;1.0 T-GDI 120 ISG LAUNCH EDITION;2020;30249;26;19860
MAZDA 3 (3E GENERATION);III (2) 1.5 SKYACTIV-D 105 DYNAMIQUE BV6;2017;81315;24;17530
RENAULT KANGOO 2 EXPRESS;II (2) EXTRA R-LINK ENERGY DCI 90 E6;2018;74428;24;14020
PORSCHE 911 TYPE 991;(991) 3.4 350 CARRERA PDK;2011;125887;95;90730
CITROEN C3 (3E GENERATION);III (2) 1.2 PURETECH 83 S&S FEEL PACK;2020;7869;24;17030
AUDI A5 SPORTBACK (2E GENERATION);II SPORTBACK 2.0 TFSI 252 AVUS QUATTRO S TRONIC 7 5PL;2017;34841;69;48380
RENAULT KANGOO 2 EXPRESS;II (2) CONFORT BLUE DCI 80 5CV;2021;8982;24;14360
MERCEDES GLC;350 E EXECUTIVE 4MATIC;2018;90000;24;44870
RENAULT KADJAR;(2) 1.3 TCE 160 FAP INTENS EDC;2022;6364;28;27970
